categoryId,likeRatio,likes_log,views_log,dislikes_log,comment_log,days_lapse,durationHr,durationMin,durationSec,titleLength,tagCount
25,0.8768177760142843,11.457423325808623,15.70886345628091,8.733755131364893,10.990246534173238,0.0,1,59,15,66,12
10,0.9855475486984772,14.211012868474894,15.832615020221256,9.288226910633254,11.853311461403639,0.0,0,2,58,42,22
10,0.9741218055394301,11.938376190166867,14.220534235322887,7.603897968521881,9.306831672164943,1440.0,0,3,0,42,26
22,0.9766731022058556,13.299494822171223,15.487011492515029,8.859931469616097,10.42370889794248,2880.0,0,5,55,35,0
10,0.9841143188742202,11.31519377971671,13.66711147262718,6.48768401848461,8.402679804627477,1440.0,0,2,59,47,22
10,0.9689473379294363,12.138452046332477,14.577967826359412,7.988882253309227,9.257319373170178,1440.0,0,2,58,67,10
22,0.909473565769756,12.13711370203909,14.931372544773643,9.088172738001974,9.450459027496354,1440.0,0,21,28,21,9
24,0.9752912107306742,10.881099134391867,14.036025056345466,6.499787040655854,8.42989086301344,1440.0,0,27,59,69,29
10,0.9218913235797513,12.283764900745597,15.147750711618098,9.080801000621198,10.101846487027707,2880.0,0,4,20,46,25
22,0.9448833418897568,12.181267526611203,14.979162804529526,8.617762246337932,9.515469358031684,2880.0,0,11,48,41,38
1,0.9426307741253502,12.151024943745936,15.551165528377021,8.628734566149145,10.206993760334795,2880.0,0,2,3,50,27
23,0.9855423856349967,11.947075206938301,14.095577206544771,7.024649030453636,9.566965314664873,2880.0,0,33,16,26,9
24,0.5245128205128206,8.22040309993373,12.91447536633154,7.055312843339752,7.340835554123275,1440.0,0,3,29,65,30
25,0.9295767278815465,10.51542467767053,13.766926222610637,7.204892510204673,8.499843553081124,1440.0,0,9,40,53,30
10,0.93857916533928,9.62990560446313,13.499151880687018,6.1779441140506,7.3310603052186325,2880.0,0,3,18,48,31
10,0.9610303736650572,12.236208950887601,14.922672196569923,8.317766166719343,9.229456489168413,2880.0,0,4,54,90,30
10,0.9066825420449471,10.15120663641638,12.797173257682754,7.134093721192866,8.139440521874608,1440.0,0,3,19,37,9
20,0.9195904038282146,11.811436195304323,14.90745265025133,8.638702608813434,9.739909238559308,2880.0,0,1,5,61,21
24,0.9789171867093945,10.06330784398357,12.608486436434623,5.521460917862246,7.7284157798410416,2880.0,0,19,5,12,17
28,0.8993068223276176,8.963032193662675,12.712399163480988,6.025865973825314,6.628041376179533,1440.0,0,12,50,47,30
24,0.9524985893005762,13.15636665723886,15.790568051531082,9.440260907569415,10.336600252573104,4320.0,0,13,36,66,38
10,0.9645523304184105,13.459029880868803,15.680755591404694,9.444067716830038,11.554038617099993,1440.0,0,0,0,41,20
24,0.9245377311344328,10.558673226808954,12.835760722172113,7.31986492980897,8.16223106548118,1440.0,0,15,51,65,32
